GAME,DATE,NUMBERS,MB,MP,JACKPOT
"MEGAMILLIONS","12/27/2013","04-15-35-48-49","11","5","ROLLOVER",
"MEGAMILLIONS","12/24/2013","23-34-53-58-73","2","3","ROLLOVER",
"MEGAMILLIONS","12/20/2013","03-04-31-49-57","6","2","ROLLOVER",
"MEGAMILLIONS","12/17/2013","08-14-17-20-39","7","4","$636,000,000 - CA, GA",
"MEGAMILLIONS","12/13/2013","19-24-26-27-70","12","2","ROLLOVER",
"MEGAMILLIONS","12/10/2013","05-12-22-41-65","13","2","ROLLOVER",
"MEGAMILLIONS","12/06/2013","11-29-44-63-64","3","3","ROLLOVER",
"MEGAMILLIONS","12/03/2013","07-12-41-44-59","3","3","ROLLOVER",
"MEGAMILLIONS","11/29/2013","09-41-43-47-57","5","4","ROLLOVER",
"MEGAMILLIONS","11/26/2013","27-44-59-74-75","3","5","ROLLOVER",
"MEGAMILLIONS","11/22/2013","17-23-35-36-44","8","3","ROLLOVER",
"MEGAMILLIONS","11/19/2013","14-15-29-49-63","2","3","ROLLOVER",
"MEGAMILLIONS","11/15/2013","25-44-49-54-63","8","4","ROLLOVER",
"MEGAMILLIONS","11/12/2013","20-30-32-42-71","15","5","ROLLOVER",
"MEGAMILLIONS","11/08/2013","41-42-51-57-65","7","2","ROLLOVER",
"MEGAMILLIONS","11/05/2013","02-11-42-64-74","2","5","ROLLOVER",
"MEGAMILLIONS","11/01/2013","32-35-49-62-67","1","5","ROLLOVER",
"MEGAMILLIONS","10/29/2013","20-33-50-53-54","7","3","ROLLOVER",
"MEGAMILLIONS","10/25/2013","06-16-45-54-60","15","2","ROLLOVER",
"MEGAMILLIONS","10/22/2013","02-03-19-52-71","14","5","ROLLOVER",
"MEGAMILLIONS","10/18/2013","05-20-45-48-56","1","4","ROLLOVER",
"MEGAMILLIONS","10/15/2013","04-23-30-43-50","11","4","ROLLOVER",
"MEGAMILLIONS","10/11/2013","03-27-37-45-48","46","4","ROLLOVER",
"MEGAMILLIONS","10/08/2013","06-15-19-23-40","5","3","ROLLOVER",
"MEGAMILLIONS","10/04/2013","04-16-24-25-44","5","3","ROLLOVER",
"MEGAMILLIONS","10/01/2013","07-10-30-37-53","1","3","$189,000,000 - MD",
"MEGAMILLIONS","09/27/2013","09-23-27-49-51","38","2","ROLLOVER",
"MEGAMILLIONS","09/24/2013","04-11-32-39-40","33","3","ROLLOVER",
"MEGAMILLIONS","09/20/2013","01-15-20-21-47","34","2","ROLLOVER",
"MEGAMILLIONS","09/17/2013","06-15-27-31-39","25","2","ROLLOVER",
"MEGAMILLIONS","09/13/2013","09-22-28-48-54","8","4","ROLLOVER",
"MEGAMILLIONS","09/10/2013","02-12-18-54-56","1","3","ROLLOVER",
"MEGAMILLIONS","09/06/2013","02-16-17-22-41","31","4","ROLLOVER",
"MEGAMILLIONS","09/03/2013","04-13-14-28-41","28","3","ROLLOVER",
"MEGAMILLIONS","08/30/2013","06-19-24-43-44","33","2","ROLLOVER",
"MEGAMILLIONS","08/27/2013","04-07-30-36-38","38","4","ROLLOVER",
"MEGAMILLIONS","08/23/2013","01-09-17-20-53","14","4","ROLLOVER",
"MEGAMILLIONS","08/20/2013","13-28-35-38-41","33","3","ROLLOVER",
"MEGAMILLIONS","08/16/2013","07-13-26-36-46","37","4","ROLLOVER",
"MEGAMILLIONS","08/13/2013","02-31-32-37-41","40","4","ROLLOVER",
"MEGAMILLIONS","08/09/2013","11-20-30-34-38","12","3","ROLLOVER",
"MEGAMILLIONS","08/06/2013","01-11-16-51-55","41","3","ROLLOVER",
"MEGAMILLIONS","08/02/2013","08-21-23-25-39","4","2","ROLLOVER",
"MEGAMILLIONS","07/30/2013","25-27-36-42-44","39","3","ROLLOVER",
"MEGAMILLIONS","07/26/2013","04-22-23-27-38","42","4","$19,000,000 - NJ",
"MEGAMILLIONS","07/23/2013","25-32-35-50-51","46","3","ROLLOVER",
"MEGAMILLIONS","07/19/2013","16-20-24-39-42","46","3","ROLLOVER",
"MEGAMILLIONS","07/16/2013","10-14-21-40-53","20","2","$20,000,000 - TX",
"MEGAMILLIONS","07/12/2013","04-05-25-27-51","10","3","ROLLOVER",
"MEGAMILLIONS","07/09/2013","03-21-43-45-48","14","2","ROLLOVER",
"MEGAMILLIONS","07/05/2013","02-23-41-47-54","42","4","$79,000,000 - MI",
"MEGAMILLIONS","07/02/2013","36-42-51-52-53","40","4","ROLLOVER",
"MEGAMILLIONS","06/28/2013","08-15-35-46-52","38","4","ROLLOVER",
"MEGAMILLIONS","06/25/2013","03-05-28-33-51","16","2","ROLLOVER",
"MEGAMILLIONS","06/21/2013","03-14-17-40-50","3","3","ROLLOVER",
"MEGAMILLIONS","06/18/2013","06-17-34-40-48","30","2","ROLLOVER",
"MEGAMILLIONS","06/14/2013","02-05-31-33-34","20","4","ROLLOVER",
"MEGAMILLIONS","06/11/2013","15-40-45-50-53","28","4","ROLLOVER",
"MEGAMILLIONS","06/07/2013","01-10-37-48-55","21","4","ROLLOVER",
"MEGAMILLIONS","06/04/2013","10-11-12-20-55","19","3","ROLLOVER",
"MEGAMILLIONS","05/31/2013","02-20-26-44-46","26","3","$30,000,000 - NJ",
"MEGAMILLIONS","05/28/2013","04-12-25-32-54","36","4","ROLLOVER",
"MEGAMILLIONS","05/24/2013","04-05-16-18-53","28","4","ROLLOVER",
"MEGAMILLIONS","05/21/2013","02-15-17-48-55","11","4","ROLLOVER",
"MEGAMILLIONS","05/17/2013","11-15-35-43-49","41","4","$190,000,000 - NJ, VA",
"MEGAMILLIONS","05/14/2013","06-10-12-28-32","38","4","ROLLOVER",
"MEGAMILLIONS","05/10/2013","01-19-20-39-49","28","4","ROLLOVER",
"MEGAMILLIONS","05/07/2013","01-06-13-20-51","31","4","ROLLOVER",
"MEGAMILLIONS","05/03/2013","02-20-34-42-54","39","2","ROLLOVER",
"MEGAMILLIONS","04/30/2013","21-30-34-39-49","43","3","ROLLOVER",
"MEGAMILLIONS","04/26/2013","17-42-49-54-55","31","4","ROLLOVER",
"MEGAMILLIONS","04/23/2013","09-21-22-32-50","10","3","ROLLOVER",
"MEGAMILLIONS","04/19/2013","06-08-12-22-43","28","4","ROLLOVER",
"MEGAMILLIONS","04/16/2013","02-05-15-18-39","42","2","ROLLOVER",
"MEGAMILLIONS","04/12/2013","01-10-13-19-21","28","3","ROLLOVER",
"MEGAMILLIONS","04/09/2013","17-30-41-48-54","13","4","ROLLOVER",
"MEGAMILLIONS","04/05/2013","08-15-23-36-41","5","3","ROLLOVER",
"MEGAMILLIONS","04/02/2013","07-10-14-40-47","34","4","ROLLOVER",
"MEGAMILLIONS","03/29/2013","25-31-36-46-53","21","4","ROLLOVER",
"MEGAMILLIONS","03/26/2013","20-33-46-49-51","46","4","ROLLOVER",
"MEGAMILLIONS","03/22/2013","14-27-34-37-41","38","4","ROLLOVER",
"MEGAMILLIONS","03/19/2013","03-06-14-21-37","35","3","ROLLOVER",
"MEGAMILLIONS","03/15/2013","04-08-17-22-32","8","2","ROLLOVER",
"MEGAMILLIONS","03/12/2013","09-12-19-20-30","39","4","$41,000,000 - OH",
"MEGAMILLIONS","03/08/2013","04-11-25-34-35","44","4","ROLLOVER",
"MEGAMILLIONS","03/05/2013","06-20-39-41-46","42","3","ROLLOVER",
"MEGAMILLIONS","03/01/2013","17-30-38-43-51","20","4","ROLLOVER",
"MEGAMILLIONS","02/26/2013","06-07-13-15-43","7","4","ROLLOVER",
"MEGAMILLIONS","02/22/2013","09-13-24-38-49","30","3","ROLLOVER",
"MEGAMILLIONS","02/19/2013","01-15-19-30-56","28","3","$26,000,000 - MD",
"MEGAMILLIONS","02/15/2013","11-35-41-42-44","42","4","ROLLOVER",
"MEGAMILLIONS","02/12/2013","09-22-32-38-55","44","3","ROLLOVER",
"MEGAMILLIONS","02/08/2013","06-15-20-39-50","5","4","ROLLOVER",
"MEGAMILLIONS","02/05/2013","02-05-10-26-44","46","4","$19,000,000 - MI",
"MEGAMILLIONS","02/01/2013","01-30-32-40-41","17","3","ROLLOVER",
"MEGAMILLIONS","01/29/2013","08-12-27-46-47","6","3","ROLLOVER",
"MEGAMILLIONS","01/25/2013","11-12-17-31-48","1","4","$89,000,000 - NJ",
"MEGAMILLIONS","01/22/2013","07-11-16-39-54","13","3","ROLLOVER",
"MEGAMILLIONS","01/18/2013","08-18-25-42-49","14","3","ROLLOVER",
"MEGAMILLIONS","01/15/2013","01-06-12-19-41","14","4","ROLLOVER",
"MEGAMILLIONS","01/11/2013","24-29-30-34-56","1","4","ROLLOVER",
"MEGAMILLIONS","01/08/2013","03-20-21-38-42","19","4","ROLLOVER",
"MEGAMILLIONS","01/04/2013","01-02-23-25-55","39","4","ROLLOVER",
"MEGAMILLIONS","01/01/2013","04-11-21-25-44","29","4","ROLLOVER",
"MEGAMILLIONS","12/28/2012","10-13-32-40-41","32","4","ROLLOVER",
"MEGAMILLIONS","12/25/2012","02-03-18-34-48","36","4","ROLLOVER",
"MEGAMILLIONS","12/21/2012","03-18-32-41-56","19","3","ROLLOVER",
"MEGAMILLIONS","12/18/2012","01-06-07-18-29","16","3","ROLLOVER",
"MEGAMILLIONS","12/14/2012","11-28-33-41-43","41","4","$35,000,000 - CA",
"MEGAMILLIONS","12/11/2012","39-44-51-52-54","13","4","ROLLOVER",
"MEGAMILLIONS","12/07/2012","07-43-44-51-56","4","3","ROLLOVER",
"MEGAMILLIONS","12/04/2012","03-19-24-32-43","44","4","ROLLOVER",
"MEGAMILLIONS","11/30/2012","11-22-24-28-31","46","3","ROLLOVER",
"MEGAMILLIONS","11/27/2012","05-12-26-42-49","24","4","$49,000,000 - GA",
"MEGAMILLIONS","11/23/2012","08-37-44-47-48","27","4","ROLLOVER",
"MEGAMILLIONS","11/20/2012","09-13-22-38-52","44","4","ROLLOVER",
"MEGAMILLIONS","11/16/2012","05-24-26-29-53","36","4","ROLLOVER",
"MEGAMILLIONS","11/13/2012","06-12-31-46-56","34","2","ROLLOVER",
"MEGAMILLIONS","11/09/2012","18-22-33-35-40","11","4","ROLLOVER",
"MEGAMILLIONS","11/06/2012","03-05-13-32-35","6","3","ROLLOVER",
"MEGAMILLIONS","11/02/2012","04-18-22-38-44","24","3","$32,000,000 - NY",
"MEGAMILLIONS","10/30/2012","05-12-18-29-56","38","4","ROLLOVER",
"MEGAMILLIONS","10/26/2012","04-15-24-36-40","44","2","ROLLOVER",
"MEGAMILLIONS","10/23/2012","01-17-42-46-55","1","2","ROLLOVER",
"MEGAMILLIONS","10/19/2012","14-34-36-48-53","42","3","ROLLOVER",
"MEGAMILLIONS","10/16/2012","13-37-40-46-52","29","4","$61,000,000 - CA, MA",
"MEGAMILLIONS","10/12/2012","06-10-24-26-42","15","4","ROLLOVER",
"MEGAMILLIONS","10/09/2012","06-15-16-22-37","3","4","ROLLOVER",
"MEGAMILLIONS","10/05/2012","08-09-16-32-39","15","3","ROLLOVER",
"MEGAMILLIONS","10/02/2012","10-11-20-42-55","9","4","ROLLOVER",
"MEGAMILLIONS","09/28/2012","06-08-14-43-56","28","4","ROLLOVER",
"MEGAMILLIONS","09/25/2012","07-08-23-50-51","26","3","ROLLOVER",
"MEGAMILLIONS","09/21/2012","03-13-14-46-55","34","4","ROLLOVER",
"MEGAMILLIONS","09/18/2012","05-09-22-36-49","36","3","$15,000,000 - NY",
"MEGAMILLIONS","09/14/2012","16-17-21-40-51","20","4","ROLLOVER",
"MEGAMILLIONS","09/11/2012","05-11-20-33-36","11","3","$120,000,000 - CA",
"MEGAMILLIONS","09/07/2012","15-32-38-42-46","31","4","ROLLOVER",
"MEGAMILLIONS","09/04/2012","16-32-39-41-53","16","3","ROLLOVER",
"MEGAMILLIONS","08/31/2012","31-40-41-47-48","45","3","ROLLOVER",
"MEGAMILLIONS","08/28/2012","04-09-40-45-50","39","4","ROLLOVER",
"MEGAMILLIONS","08/24/2012","25-34-45-46-49","34","2","ROLLOVER",
"MEGAMILLIONS","08/21/2012","05-13-20-23-33","30","2","ROLLOVER",
"MEGAMILLIONS","08/17/2012","08-20-24-35-56","24","3","ROLLOVER",
"MEGAMILLIONS","08/14/2012","15-23-34-39-55","32","4","ROLLOVER",
"MEGAMILLIONS","08/10/2012","10-18-36-38-44","8","4","ROLLOVER",
"MEGAMILLIONS","08/07/2012","30-32-33-42-48","7","4","ROLLOVER",
"MEGAMILLIONS","08/03/2012","02-10-13-38-46","2","3","ROLLOVER",
"MEGAMILLIONS","07/31/2012","05-18-21-29-41","37","3","ROLLOVER",
"MEGAMILLIONS","07/27/2012","02-03-04-08-43","26","3","$52,000,000 - CA",
"MEGAMILLIONS","07/24/2012","05-09-38-46-51","5","4","ROLLOVER",
"MEGAMILLIONS","07/20/2012","02-44-48-50-52","3","3","ROLLOVER",
"MEGAMILLIONS","07/17/2012","01-13-21-49-55","17","4","ROLLOVER",
"MEGAMILLIONS","07/13/2012","06-07-13-24-46","34","2","ROLLOVER",
"MEGAMILLIONS","07/10/2012","03-11-19-23-36","21","4","ROLLOVER",
"MEGAMILLIONS","07/06/2012","20-23-28-35-39","21","3","ROLLOVER",
"MEGAMILLIONS","07/03/2012","03-04-24-36-52","45","4","$86,000,0000 - NY",
"MEGAMILLIONS","06/29/2012","28-34-39-45-53","34","4","ROLLOVER",
"MEGAMILLIONS","06/26/2012","03-16-23-35-36","20","4","ROLLOVER",
"MEGAMILLIONS","06/22/2012","10-16-19-32-36","13","3","ROLLOVER",
"MEGAMILLIONS","06/19/2012","11-21-27-30-53","11","2","ROLLOVER",
"MEGAMILLIONS","06/15/2012","08-12-18-30-40","4","3","ROLLOVER",
"MEGAMILLIONS","06/12/2012","02-09-17-34-50","45","4","ROLLOVER",
"MEGAMILLIONS","06/08/2012","04-09-34-40-48","25","3","ROLLOVER",
"MEGAMILLIONS","06/05/2012","37-39-42-53-55","22","3","ROLLOVER",
"MEGAMILLIONS","06/01/2012","02-27-38-46-52","45","3","ROLLOVER",
"MEGAMILLIONS","05/29/2012","02-14-29-53-55","31","3","$32,000,000 - CA",
"MEGAMILLIONS","05/25/2012","09-15-21-40-54","11","4","ROLLOVER",
"MEGAMILLIONS","05/22/2012","10-14-35-43-52","16","2","ROLLOVER",
"MEGAMILLIONS","05/18/2012","03-11-22-34-49","1","4","ROLLOVER",
"MEGAMILLIONS","05/15/2012","10-11-12-14-24","6","4","$25,000,000 - CA",
"MEGAMILLIONS","05/11/2012","03-15-29-35-54","8","4","ROLLOVER",
"MEGAMILLIONS","05/08/2012","02-06-08-18-51","19","3","ROLLOVER",
"MEGAMILLIONS","05/04/2012","04-11-21-42-53","38","4","$118,000,000 - IL",
"MEGAMILLIONS","05/01/2012","24-27-31-45-52","38","4","ROLLOVER",
"MEGAMILLIONS","04/27/2012","02-05-45-46-47","37","4","ROLLOVER",
"MEGAMILLIONS","04/24/2012","03-09-15-37-38","39","4","ROLLOVER",
"MEGAMILLIONS","04/20/2012","14-23-26-33-35","40","3","ROLLOVER",
"MEGAMILLIONS","04/17/2012","01-16-24-32-48","2","4","ROLLOVER",
"MEGAMILLIONS","04/13/2012","09-14-17-36-42","33","4","ROLLOVER",
"MEGAMILLIONS","04/10/2012","02-06-12-31-48","25","4","ROLLOVER",
"MEGAMILLIONS","04/06/2012","02-19-20-24-33","39","4","ROLLOVER",
"MEGAMILLIONS","04/03/2012","11-35-38-41-52","40","4","ROLLOVER",
"MEGAMILLIONS","03/30/2012","02-04-23-38-46","23","3","$640,000,000 - KS, IL, MD",
"MEGAMILLIONS","03/27/2012","09-19-34-44-51","24","3","ROLLOVER",
"MEGAMILLIONS","03/23/2012","06-17-19-20-21","20","4","ROLLOVER",
"MEGAMILLIONS","03/20/2012","01-04-06-11-14","30","4","ROLLOVER",
"MEGAMILLIONS","03/16/2012","28-29-43-51-53","7","3","ROLLOVER",
"MEGAMILLIONS","03/13/2012","02-08-30-36-48","31","3","ROLLOVER",
"MEGAMILLIONS","03/09/2012","09-10-27-36-42","11","4","ROLLOVER",
"MEGAMILLIONS","03/06/2012","20-24-31-33-36","44","4","ROLLOVER",
"MEGAMILLIONS","03/02/2012","16-29-48-52-54","5","2","ROLLOVER",
"MEGAMILLIONS","02/28/2012","06-15-29-39-51","36","3","ROLLOVER",
"MEGAMILLIONS","02/24/2012","01-16-18-25-27","3","4","ROLLOVER",
"MEGAMILLIONS","02/21/2012","09-30-39-42-47","37","3","ROLLOVER",
"MEGAMILLIONS","02/17/2012","16-25-28-32-40","3","3","ROLLOVER",
"MEGAMILLIONS","02/14/2012","03-05-10-26-27","27","2","ROLLOVER",
"MEGAMILLIONS","02/10/2012","03-04-18-29-50","20","4","ROLLOVER",
"MEGAMILLIONS","02/07/2012","17-23-30-37-45","4","4","ROLLOVER",
"MEGAMILLIONS","02/03/2012","07-19-21-49-53","35","4","ROLLOVER",
"MEGAMILLIONS","01/31/2012","09-17-18-28-43","9","3","ROLLOVER",
"MEGAMILLIONS","01/27/2012","03-05-30-36-48","23","4","ROLLOVER",
"MEGAMILLIONS","01/24/2012","10-22-24-36-49","33","4","$71,000,000 - GA",
"MEGAMILLIONS","01/20/2012","01-09-28-38-47","8","2","ROLLOVER",
"MEGAMILLIONS","01/17/2012","03-15-31-36-53","27","2","ROLLOVER",
"MEGAMILLIONS","01/13/2012","10-27-28-37-51","19","3","ROLLOVER",
"MEGAMILLIONS","01/10/2012","04-10-16-38-48","34","3","ROLLOVER",
"MEGAMILLIONS","01/06/2012","09-17-28-34-48","46","2","ROLLOVER",
"MEGAMILLIONS","01/03/2012","02-03-15-22-36","23","2","ROLLOVER",
"MEGAMILLIONS","12/30/2011","04-24-45-46-52","1","4","ROLLOVER",
"MEGAMILLIONS","12/27/2011","23-32-33-39-43","8","3","$206,000,000 - NY",
"MEGAMILLIONS","12/23/2011","03-05-08-18-29","14","4","ROLLOVER",
"MEGAMILLIONS","12/20/2011","20-24-27-45-51","31","4","ROLLOVER",
"MEGAMILLIONS","12/16/2011","02-04-26-36-39","27","3","ROLLOVER",
"MEGAMILLIONS","12/13/2011","05-06-22-26-41","6","4","ROLLOVER",
"MEGAMILLIONS","12/09/2011","04-12-29-49-51","44","4","ROLLOVER",
"MEGAMILLIONS","12/06/2011","07-21-29-35-49","39","4","ROLLOVER",
"MEGAMILLIONS","12/02/2011","24-30-48-51-56","45","4","ROLLOVER",
"MEGAMILLIONS","11/29/2011","17-29-43-48-52","36","4","ROLLOVER",
"MEGAMILLIONS","11/25/2011","22-28-42-49-54","43","3","ROLLOVER",
"MEGAMILLIONS","11/22/2011","04-16-23-33-48","38","2","ROLLOVER",
"MEGAMILLIONS","11/18/2011","04-13-33-39-55","3","4","ROLLOVER",
"MEGAMILLIONS","11/15/2011","03-06-24-30-33","21","4","ROLLOVER",
"MEGAMILLIONS","11/11/2011","02-16-22-29-50","27","4","ROLLOVER",
"MEGAMILLIONS","11/08/2011","05-31-45-47-54","4","4","ROLLOVER",
"MEGAMILLIONS","11/04/2011","26-30-32-33-44","1","4","ROLLOVER",
"MEGAMILLIONS","11/01/2011","27-31-39-40-46","36","3","$78,000,000 - California",
"MEGAMILLIONS","10/28/2011","13-31-49-52-56","41","4","ROLLOVER",
"MEGAMILLIONS","10/25/2011","13-33-40-44-46","8","4","ROLLOVER",
"MEGAMILLIONS","10/21/2011","06-21-35-37-38","17","3","ROLLOVER",
"MEGAMILLIONS","10/18/2011","24-25-45-47-53","42","2","ROLLOVER",
"MEGAMILLIONS","10/14/2011","13-35-42-45-54","26","4","ROLLOVER",
"MEGAMILLIONS","10/11/2011","25-34-38-44-56","27","4","ROLLOVER",
"MEGAMILLIONS","10/07/2011","05-15-19-23-38","19","4","ROLLOVER",
"MEGAMILLIONS","10/04/2011","03-26-40-45-52","11","3","ROLLOVER",
"MEGAMILLIONS","09/30/2011","03-19-21-44-45","29","4","$113,000,000 - California and North Carolina ",
"MEGAMILLIONS","09/27/2011","02-20-28-36-45","37","4","ROLLOVER",
"MEGAMILLIONS","09/23/2011","21-27-32-40-52","36","4","ROLLOVER",
"MEGAMILLIONS","09/20/2011","06-29-38-50-51","39","4","ROLLOVER",
"MEGAMILLIONS","09/16/2011","06-23-41-45-56","24","4","ROLLOVER",
"MEGAMILLIONS","09/13/2011","22-31-43-48-56","45","4","ROLLOVER",
"MEGAMILLIONS","09/09/2011","07-12-19-23-31","45","4","ROLLOVER",
"MEGAMILLIONS","09/06/2011","01-36-38-42-49","19","4","ROLLOVER",
"MEGAMILLIONS","09/02/2011","25-44-48-49-55","20","3","ROLLOVER",
"MEGAMILLIONS","08/30/2011","02-22-25-28-50","18","4","ROLLOVER",
"MEGAMILLIONS","08/26/2011","02-03-27-30-47","36","3","ROLLOVER",
"MEGAMILLIONS","08/23/2011","11-21-44-48-49","23","3","ROLLOVER",
"MEGAMILLIONS","08/19/2011","05-15-53-54-56","22","2","$32,000,000 - Massachusetts",
"MEGAMILLIONS","08/16/2011","04-38-41-42-43","44","4","ROLLOVER",
"MEGAMILLIONS","08/12/2011","09-43-51-54-55","13","4","ROLLOVER",
"MEGAMILLIONS","08/09/2011","11-19-39-45-54","15","4","ROLLOVER",
"MEGAMILLIONS","08/05/2011","06-24-28-33-42","19","3","$99,000,000 - OH",
"MEGAMILLIONS","08/02/2011","14-17-19-20-32","28","4","ROLLOVER",
"MEGAMILLIONS","07/29/2011","08-10-22-47-48","35","4","ROLLOVER",
"MEGAMILLIONS","07/26/2011","20-25-35-52-55","10","3","ROLLOVER",
"MEGAMILLIONS","07/22/2011","23-31-32-39-56","38","4","ROLLOVER",
"MEGAMILLIONS","07/19/2011","02-09-10-16-35","40","4","ROLLOVER",
"MEGAMILLIONS","07/15/2011","16-29-30-46-56","6","3","ROLLOVER",
"MEGAMILLIONS","07/12/2011","03-09-11-44-49","9","4","ROLLOVER",
"MEGAMILLIONS","07/08/2011","01-02-22-37-50","45","3","ROLLOVER",
"MEGAMILLIONS","07/05/2011","01-10-13-18-46","19","2","ROLLOVER",
"MEGAMILLIONS","07/01/2011","12-17-30-35-47","26","4","$105,000,000 - VA",
"MEGAMILLIONS","06/28/2011","12-17-27-47-48","33","4","ROLLOVER",
"MEGAMILLIONS","06/24/2011","10-14-40-49-51","4","3","ROLLOVER",
"MEGAMILLIONS","06/21/2011","11-24-25-31-46","17","3","ROLLOVER",
"MEGAMILLIONS","06/17/2011","12-29-46-47-51","24","4","ROLLOVER",
"MEGAMILLIONS","06/14/2011","09-10-20-51-53","24","4","ROLLOVER",
"MEGAMILLIONS","06/10/2011","18-21-27-37-38","7","3","ROLLOVER",
"MEGAMILLIONS","06/07/2011","29-32-35-47-52","13","4","ROLLOVER",
"MEGAMILLIONS","06/03/2011","20-23-41-49-53","31","3","ROLLOVER",
"MEGAMILLIONS","05/31/2011","28-30-31-37-55","13","3","ROLLOVER",
"MEGAMILLIONS","05/27/2011","05-07-14-28-56","10","4","$35,000,000 - Texas",
"MEGAMILLIONS","05/24/2011","09-12-21-42-43","42","3","ROLLOVER",
"MEGAMILLIONS","05/20/2011","10-17-19-45-48","30","4","ROLLOVER",
"MEGAMILLIONS","05/17/2011","01-02-17-25-48","45","4","ROLLOVER",
"MEGAMILLIONS","05/13/2011","03-33-39-47-53","9","4","$27,000,000 - Michigan",
"MEGAMILLIONS","05/10/2011","11-16-34-40-51","34","4","ROLLOVER",
"MEGAMILLIONS","05/06/2011","06-18-26-37-41","9","3","ROLLOVER",
"MEGAMILLIONS","05/03/2011","01-16-29-36-50","16","2","$51,000,000 CA",
"MEGAMILLIONS","04/29/2011","09-10-11-33-51","29","4","ROLLOVER",
"MEGAMILLIONS","04/26/2011","19-29-32-38-55","15","3","ROLLOVER",
"MEGAMILLIONS","04/22/2011","03-18-46-51-53","17","3","ROLLOVER",
"MEGAMILLIONS","04/19/2011","20-24-32-45-51","43","4","ROLLOVER",
"MEGAMILLIONS","04/15/2011","22-23-33-39-48","29","3","$72,000,000- New York",
"MEGAMILLIONS","04/12/2011","10-23-39-41-45","15","2","ROLLOVER",
"MEGAMILLIONS","04/08/2011","06-40-45-50-56","11","3","ROLLOVER",
"MEGAMILLIONS","04/05/2011","01-19-20-31-36","9","2","ROLLOVER",
"MEGAMILLIONS","04/01/2011","13-14-35-36-53","19","3","ROLLOVER",
"MEGAMILLIONS","03/29/2011","06-15-23-34-38","43","4","ROLLOVER",
"MEGAMILLIONS","03/25/2011","22-24-31-52-54","4","4","$312,000,000 - New York",
"MEGAMILLIONS","03/22/2011","01-14-35-50-53","43","4","ROLLOVER",
"MEGAMILLIONS","03/18/2011","14-33-34-54-56","37","4","ROLLOVER",
"MEGAMILLIONS","03/15/2011","10-11-12-28-43","45","4","ROLLOVER",
"MEGAMILLIONS","03/11/2011","14-19-21-42-45","6","2","ROLLOVER",
"MEGAMILLIONS","03/08/2011","03-17-19-41-55","24","4","ROLLOVER",
"MEGAMILLIONS","03/04/2011","08-10-15-23-41","7","4","ROLLOVER",
"MEGAMILLIONS","03/01/2011","01-12-19-20-47","25","3","ROLLOVER",
"MEGAMILLIONS","02/25/2011","04-05-17-19-50","7","4","ROLLOVER",
"MEGAMILLIONS","02/22/2011","15-22-23-48-55","31","4","ROLLOVER",
"MEGAMILLIONS","02/18/2011","05-06-07-30-45","42","3","ROLLOVER",
"MEGAMILLIONS","02/15/2011","17-18-24-35-39","18","4","ROLLOVER",
"MEGAMILLIONS","02/11/2011","08-09-17-32-34","13","2","ROLLOVER",
"MEGAMILLIONS","02/08/2011","25-35-36-47-48","18","2","ROLLOVER",
"MEGAMILLIONS","02/04/2011","06-20-29-48-55","6","4","ROLLOVER",
"MEGAMILLIONS","02/01/2011","16-22-23-26-35","31","4","$91,000,000.00 IN, MI",
"MEGAMILLIONS","01/28/2011","14-33-48-49-50","18","4","ROLLOVER",
"MEGAMILLIONS","01/25/2011","05-08-31-46-50","4","4","ROLLOVER",
"MEGAMILLIONS","01/21/2011","05-09-21-35-38","20","4","ROLLOVER",
"MEGAMILLIONS","01/18/2011","04-27-29-38-45","5","4","ROLLOVER",
"MEGAMILLIONS","01/14/2011","02-15-17-33-35","8","2","ROLLOVER",
"MEGAMILLIONS","01/11/2011","01-04-11-16-45","37","4","ROLLOVER",
"MEGAMILLIONS","01/07/2011","04-22-42-46-53","20","2","ROLLOVER",
"MEGAMILLIONS","01/04/2011","04-08-15-25-47","42","4","$355,000,000 ID, WA",
"MEGAMILLIONS","12/31/2010","10-12-13-35-56","9","4","ROLLOVER",
"MEGAMILLIONS","12/28/2010","06-18-36-40-49","7","4","ROLLOVER",
"MEGAMILLIONS","12/24/2010","15-16-27-40-52","16","4","ROLLOVER",
"MEGAMILLIONS","12/21/2010","08-11-12-31-32","29","4","ROLLOVER",
"MEGAMILLIONS","12/17/2010","11-20-26-46-53","12","4","ROLLOVER",
"MEGAMILLIONS","12/14/2010","18-22-25-31-38","29","3","ROLLOVER",
"MEGAMILLIONS","12/10/2010","23-27-33-44-46","36","4","ROLLOVER",
"MEGAMILLIONS","12/07/2010","04-38-45-53-54","9","4","ROLLOVER",
"MEGAMILLIONS","12/03/2010","06-11-12-18-56","12","3","ROLLOVER",
"MEGAMILLIONS","11/30/2010","11-16-19-47-53","2","4","ROLLOVER",
"MEGAMILLIONS","11/26/2010","05-09-34-43-47","8","2","ROLLOVER",
"MEGAMILLIONS","11/23/2010","02-06-12-34-35","33","4","ROLLOVER",
"MEGAMILLIONS","11/19/2010","07-14-31-51-54","35","2","ROLLOVER",
"MEGAMILLIONS","11/16/2010","01-26-27-39-46","21","3","ROLLOVER",
"MEGAMILLIONS","11/12/2010","09-26-28-35-38","10","4","ROLLOVER",
"MEGAMILLIONS","11/09/2010","08-26-28-33-53","11","4","$25,000,000 - Ohio",
"MEGAMILLIONS","11/05/2010","19-25-34-46-53","15","4","ROLLOVER",
