GAME,DATE,NUMBERS,MB,MP,JACKPOT
"MEGAMILLIONS","06/07/2016","25-48-51-65-72","4","4","ROLLOVER",
"MEGAMILLIONS","06/03/2016","32-54-65-66-71","10","3","ROLLOVER",
"MEGAMILLIONS","05/31/2016","09-31-34-41-49","8","5","ROLLOVER",
"MEGAMILLIONS","05/27/2016","18-41-50-68-70","9","3","ROLLOVER",
"MEGAMILLIONS","05/24/2016","11-50-51-70-75","15","4","ROLLOVER",
"MEGAMILLIONS","05/20/2016","19-24-26-40-68","8","2","ROLLOVER",
"MEGAMILLIONS","05/17/2016","17-24-27-48-75","6","3","ROLLOVER",
"MEGAMILLIONS","05/13/2016","20-21-38-54-66","7","4","ROLLOVER",
"MEGAMILLIONS","05/10/2016","12-22-46-56-74","4","3","ROLLOVER",
"MEGAMILLIONS","05/06/2016","14-26-27-32-36","7","4","ROLLOVER",
"MEGAMILLIONS","05/03/2016","28-29-33-36-45","15","5","ROLLOVER",
"MEGAMILLIONS","04/29/2016","05-06-37-55-74","10","5","ROLLOVER",
"MEGAMILLIONS","04/26/2016","14-16-17-28-48","2","2","ROLLOVER",
"MEGAMILLIONS","04/22/2016","02-19-21-42-60","13","5","ROLLOVER",
"MEGAMILLIONS","04/19/2016","09-28-40-57-65","2","5","ROLLOVER",
"MEGAMILLIONS","04/15/2016","09-10-34-37-73","9","5","ROLLOVER",
"MEGAMILLIONS","04/12/2016","07-11-59-62-63","3","5","ROLLOVER",
"MEGAMILLIONS","04/08/2016","31-38-52-65-71","15","3","ROLLOVER",
"MEGAMILLIONS","04/05/2016","13-45-52-53-57","10","5","ROLLOVER",
"MEGAMILLIONS","04/01/2016","25-28-33-41-69","6","2","ROLLOVER",
"MEGAMILLIONS","03/29/2016","33-38-40-46-49","15","5","ROLLOVER",
"MEGAMILLIONS","03/25/2016","04-11-12-35-46","12","2","ROLLOVER",
"MEGAMILLIONS","03/22/2016","06-19-34-38-70","5","5","ROLLOVER",
"MEGAMILLIONS","03/18/2016","05-08-57-59-73","13","5","ROLLOVER",
"MEGAMILLIONS","03/15/2016","18-26-30-44-68","7","4","ROLLOVER",
"MEGAMILLIONS","03/11/2016","14-18-48-54-71","13","4","ROLLOVER",
"MEGAMILLIONS","03/08/2016","27-37-54-66-69","5","5","WA",
"MEGAMILLIONS","03/04/2016","21-26-33-48-73","14","4","ROLLOVER",
"MEGAMILLIONS","03/01/2016","01-29-33-34-55","6","5","ROLLOVER",
"MEGAMILLIONS","02/26/2016","03-15-19-62-74","14","4","ROLLOVER",
"MEGAMILLIONS","02/23/2016","16-32-39-53-57","10","5","ROLLOVER",
"MEGAMILLIONS","02/19/2016","02-27-41-50-75","4","4","ROLLOVER",
"MEGAMILLIONS","02/16/2016","09-31-33-46-64","4","3","ROLLOVER",
"MEGAMILLIONS","02/12/2016","01-07-44-68-73","1","3","ROLLOVER",
"MEGAMILLIONS","02/09/2016","03-42-46-56-71","13","4","ROLLOVER",
"MEGAMILLIONS","02/05/2016","04-06-23-55-75","2","3","ROLLOVER",
"MEGAMILLIONS","02/02/2016","07-13-25-51-70","9","4","ROLLOVER",
"MEGAMILLIONS","01/29/2016","20-28-49-51-52","6","2","ROLLOVER",
"MEGAMILLIONS","01/26/2016","14-27-39-50-69","2","2","ROLLOVER",
"MEGAMILLIONS","01/22/2016","21-25-40-46-56","3","5","ROLLOVER",
"MEGAMILLIONS","01/19/2016","02-17-31-39-47","9","2","ROLLOVER",
"MEGAMILLIONS","01/15/2016","29-41-53-54-70","12","2","ROLLOVER",
"MEGAMILLIONS","01/12/2016","15-27-29-31-48","15","4","ROLLOVER",
"MEGAMILLIONS","01/08/2016","11-39-51-57-75","2","5","NY",
"MEGAMILLIONS","01/05/2016","01-04-36-48-57","13","5","ROLLOVER",
"MEGAMILLIONS","01/01/2016","07-18-37-38-39","9","5","ROLLOVER",
"MEGAMILLIONS","12/29/2015","20-25-55-62-74","7","3","ROLLOVER",
"MEGAMILLIONS","12/25/2015","15-25-29-44-51","4","4","ROLLOVER",
"MEGAMILLIONS","12/22/2015","11-21-40-50-70","15","3","ROLLOVER",
"MEGAMILLIONS","12/18/2015","06-23-24-28-62","7","5","ROLLOVER",
"MEGAMILLIONS","12/15/2015","18-25-47-51-61","5","5","ROLLOVER",
"MEGAMILLIONS","12/11/2015","14-20-43-54-69","5","4","ROLLOVER",
"MEGAMILLIONS","12/08/2015","07-17-37-49-73","15","3","ROLLOVER",
"MEGAMILLIONS","12/04/2015","26-42-47-61-73","6","5","ROLLOVER",
"MEGAMILLIONS","12/01/2015","05-07-25-50-59","12","2","ROLLOVER",
"MEGAMILLIONS","11/27/2015","16-20-39-56-59","12","3","ROLLOVER",
"MEGAMILLIONS","11/24/2015","02-19-30-38-70","8","4","ROLLOVER",
"MEGAMILLIONS","11/20/2015","09-12-29-37-67","15","2","ROLLOVER",
"MEGAMILLIONS","11/17/2015","12-14-18-24-61","10","3","ROLLOVER",
"MEGAMILLIONS","11/13/2015","17-18-31-35-59","9","5","OH",
"MEGAMILLIONS","11/10/2015","08-17-20-45-71","4","4","ROLLOVER",
"MEGAMILLIONS","11/06/2015","10-31-35-50-72","8","3","ROLLOVER",
"MEGAMILLIONS","11/03/2015","16-29-44-69-74","12","5","ROLLOVER",
"MEGAMILLIONS","10/30/2015","17-41-51-53-56","15","5","ROLLOVER",
"MEGAMILLIONS","10/27/2015","09-26-27-29-74","4","3","ROLLOVER",
"MEGAMILLIONS","10/23/2015","25-32-37-45-70","1","5","ROLLOVER",
"MEGAMILLIONS","10/20/2015","06-25-35-38-52","4","4","ROLLOVER",
"MEGAMILLIONS","10/16/2015","02-38-48-61-68","4","3","ROLLOVER",
"MEGAMILLIONS","10/13/2015","07-09-24-38-52","1","5","ROLLOVER",
"MEGAMILLIONS","10/09/2015","08-09-21-63-75","14","4","ROLLOVER",
"MEGAMILLIONS","10/06/2015","17-58-63-64-66","13","3","ROLLOVER",
"MEGAMILLIONS","10/02/2015","04-14-29-31-47","9","2","ROLLOVER",
"MEGAMILLIONS","09/29/2015","08-21-30-61-62","9","3","ROLLOVER",
"MEGAMILLIONS","09/25/2015","03-08-38-51-64","4","5","ROLLOVER",
"MEGAMILLIONS","09/22/2015","28-30-38-45-51","8","5","ROLLOVER",
"MEGAMILLIONS","09/18/2015","17-34-35-51-65","7","3","ROLLOVER",
"MEGAMILLIONS","09/15/2015","07-20-35-49-56","9","4","ROLLOVER",
"MEGAMILLIONS","09/11/2015","05-11-31-50-67","14","2","NY",
"MEGAMILLIONS","09/08/2015","19-20-36-41-46","7","3","ROLLOVER",
"MEGAMILLIONS","09/04/2015","17-21-39-52-57","5","5","ROLLOVER",
"MEGAMILLIONS","09/01/2015","02-05-35-40-54","13","5","ROLLOVER",
"MEGAMILLIONS","08/28/2015","13-35-40-60-68","9","4","ROLLOVER",
"MEGAMILLIONS","08/25/2015","05-44-54-59-63","1","5","ROLLOVER",
"MEGAMILLIONS","08/21/2015","13-15-21-41-72","1","5","ROLLOVER",
